Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE,,,
11-9061,Funeral Service Managers,detail,8400,0.04,0.058,38.07,45.11,93820,0.028,,,
11-9071,Gaming Managers,detail,4300,0.039,0.03,35.91,40.99,85260,0.011,,,
11-9081,Lodging Managers,detail,37050,0.025,0.256,25.67,29.94,62270,0.01,,,
11-9111,Medical and Health Services Managers,detail,372670,0.006,2.575,47.95,54.68,113730,0.004,,,
11-9121,Natural Sciences Managers,detail,60260,0.02,0.416,59.55,67.16,139680,0.011,,,
11-9131,Postmasters and Mail Superintendents,detail,13770,0.003,0.095,36.52,37.04,77040,0.001,,,
11-9141,"Property, Real Estate, and Community Association Managers",detail,202550,0.013,1.399,28.05,34.49,71730,0.009,,,
11-9151,Social and Community Service Managers,detail,149870,0.012,1.036,31.41,34.46,71670,0.005,,,
11-9161,Emergency Management Directors,detail,9550,0.018,0.066,35.78,39.7,82570,0.008,,,
11-9199,"Managers, All Other",detail,462840,0.006,3.198,51.67,55.57,115590,0.003,,,
13-0000,Business and Financial Operations Occupations,major,7721300,0.003,53.348,32.86,36.98,76910,0.002,,,
13-1000,Business Operations Specialists,minor,5022640,0.003,34.703,32.27,35.52,73890,0.002,,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detail,14830,0.044,0.102,31.75,43.72,90930,0.038,,,
13-1020,Buyers and Purchasing Agents,broad,407410,0.007,2.815,30.17,32.47,67530,0.002,,,
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,302930,0.014,2.093,31.57,32.42,67440,0.006,,,
13-1031,"Claims Adjusters, Examiners, and Investigators",detail,287730,0.014,1.988,31.68,32.47,67540,0.006,,,
13-1032,"Insurance Appraisers, Auto Damage",detail,15200,0.05,0.105,30.06,31.5,65510,0.009,,,
13-1041,Compliance Officers,detail,300900,0.008,2.079,33.1,34.86,72520,0.005,,,
13-1051,Cost Estimators,detail,211600,0.008,1.462,30.79,33.52,69710,0.003,,,
13-1070,Human Resources Workers,broad,671140,0.005,4.637,29.52,32.32,67240,0.003,,,
13-1071,Human Resources Specialists,detail,593790,0.005,4.103,29.27,32.11,66790,0.002,,,
13-1074,Farm Labor Contractors,detail,200,0.149,0.001,22.19,25.45,52930,0.07,,,
13-1075,Labor Relations Specialists,detail,77140,0.018,0.533,32.59,34.01,70730,0.014,,,
13-1081,Logisticians,detail,169820,0.011,1.173,35.86,37.85,78730,0.004,,,
13-1111,Management Analysts,detail,684470,0.008,4.729,40.2,45.38,94390,0.005,,,
13-1121,"Meeting, Convention, and Event Planners",detail,110120,0.017,0.761,23.74,25.83,53730,0.007,,,
13-1131,Fundraisers,detail,75700,0.014,0.523,27.38,29.62,61610,0.008,,,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detail,83550,0.015,0.577,30.29,32.65,67910,0.005,,,
13-1151,Training and Development Specialists,detail,291380,0.008,2.013,29.26,31.31,65120,0.003,,,
13-1161,Market Research Analysts and Marketing Specialists,detail,638200,0.01,4.41,30.35,34.11,70960,0.004,,,
13-1199,"Business Operations Specialists, All Other",detail,1060580,0.005,7.328,33.91,37,76960,0.003,,,
13-2000,Financial Specialists,minor,2698660,0.005,18.646,34.02,39.69,82550,0.003,,,
13-2011,Accountants and Auditors,detail,1259930,0.007,8.705,33.89,37.89,78820,0.003,,,
13-2021,Appraisers and Assessors of Real Estate,detail,57900,0.025,0.4,26.43,29.75,61870,0.013,,,
13-2031,Budget Analysts,detail,52810,0.011,0.365,36.65,38.38,79830,0.006,,,
13-2041,Credit Analysts,detail,74820,0.018,0.517,34.38,39.57,82300,0.009,,,
13-2050,Financial Analysts and Advisors,broad,602500,0.009,4.163,39.84,50.03,104050,0.007,,,
13-2051,Financial Analysts,detail,306200,0.014,2.116,41.18,48.55,100990,0.009,,,
13-2052,Personal Financial Advisors,detail,200260,0.015,1.384,42.73,58.54,121770,0.011,,,
13-2053,Insurance Underwriters,detail,96040,0.026,0.664,33.36,36.96,76880,0.007,,,
13-2061,Financial Examiners,detail,58590,0.019,0.405,38.55,43.42,90310,0.015,,,
13-2070,Credit Counselors and Loan Officers,broad,340690,0.011,2.354,29.11,35.33,73490,0.006,,,
13-2071,Credit Counselors,detail,35740,0.037,0.247,21.72,23.95,49820,0.011,,,
13-2072,Loan Officers,detail,304950,0.012,2.107,30.31,36.67,76270,0.006,,,
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,122640,0.016,0.847,22.92,25.45,52930,0.009,,,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detail,54550,0.003,0.377,26.17,29.09,60500,0.003,,,
13-2082,Tax Preparers,detail,68090,0.029,0.47,18.94,22.53,46860,0.016,,,
13-2099,"Financial Specialists, All Other",detail,128760,0.012,0.89,33.79,37.3,77580,0.007,,,
15-0000,Computer and Mathematical Occupations,major,4384300,0.005,30.292,41.51,44.01,91530,0.004,,,
15-1100,Computer Occupations,minor,4214820,0.005,29.121,41.5,43.98,91480,0.004,,,
15-1111,Computer and Information Research Scientists,detail,30070,0.034,0.208,56.91,59.54,123850,0.013,,,
15-1120,Computer and Information Analysts,broad,696030,0.009,4.809,43.31,45.67,94990,0.003,,,
15-1121,Computer Systems Analysts,detail,587970,0.01,4.062,42.66,45.01,93610,0.003,,,
15-1122,Information Security Analysts,detail,108060,0.02,0.747,47.28,49.26,102470,0.005,,,
15-1130,Software Developers and Programmers,broad,1666270,0.012,11.513,48.04,50.23,104480,0.007,,,
15-1131,Computer Programmers,detail,230470,0.024,1.592,40.52,43.07,89580,0.013,,,
15-1132,"Software Developers, Applications",detail,903160,0.016,6.24,49.82,51.96,108080,0.009,,,
15-1133,"Software Developers, Systems Software",detail,405330,0.013,2.801,52.89,54.81,114000,0.005,,,
15-1134,Web Developers,detail,127300,0.014,0.88,33.38,36.34,75580,0.007,,,
15-1140,Database and Systems Administrators and Network Architects,broad,629020,0.007,4.346,42.79,45.09,93780,0.002,,,
15-1141,Database Administrators,detail,110090,0.01,0.761,43.31,44.25,92030,0.003,,,
15-1142,Network and Computer Systems Administrators,detail,366250,0.008,2.531,39.45,41.86,87070,0.003,,,
15-1143,Computer Network Architects,detail,152670,0.016,1.055,52.41,53.43,111130,0.006,,,
15-1150,Computer Support Specialists,broad,812060,0.008,5.611,25.7,27.86,57950,0.003,,,
15-1151,Computer User Support Specialists,detail,630700,0.008,4.358,24.51,26.46,55050,0.004,,,
15-1152,Computer Network Support Specialists,detail,181360,0.014,1.253,30.18,32.72,68050,0.005,,,
15-1199,"Computer Occupations, All Other",detail,381380,0.009,2.635,43.4,44.88,93350,0.004,,,
15-2000,Mathematical Science Occupations,minor,169480,0.015,1.171,41.68,44.63,92830,0.004,,,
15-2011,Actuaries,detail,20760,0.044,0.143,49.46,55.89,116250,0.012,,,
15-2021,Mathematicians,detail,2580,0.056,0.018,48.99,50.42,104870,0.017,,,
15-2031,Operations Research Analysts,detail,104200,0.018,0.72,40.09,42.48,88350,0.005,,,
15-2041,Statisticians,detail,39920,0.02,0.276,42.2,44.52,92600,0.007,,,
15-2090,Miscellaneous Mathematical Science Occupations,broad,2010,0.06,0.014,27.5,34.8,72390,0.032,,,
17-0000,Architecture and Engineering Occupations,major,2556220,0.005,17.662,38.55,42.01,87370,0.003,,,
17-1000,"Architects, Surveyors, and Cartographers",minor,179380,0.011,1.239,35.2,38.61,80300,0.007,,,
17-1010,"Architects, Except Naval",broad,123020,0.015,0.85,37.37,41.58,86480,0.009,,,
17-1011,"Architects, Except Landscape and Naval",detail,104360,0.017,0.721,38.16,42.72,88860,0.01,,,
17-1012,Landscape Architects,detail,18660,0.049,0.129,32.8,35.17,73160,0.013,,,
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,56360,0.016,0.389,30.27,32.12,66810,0.005,,,
17-1021,Cartographers and Photogrammetrists,detail,11050,0.025,0.076,30.98,32.86,68340,0.008,,,
17-1022,Surveyors,detail,45310,0.019,0.313,30.09,31.94,66440,0.006,,,
17-2000,Engineers,minor,1700880,0.006,11.752,44.75,47.71,99230,0.003,,,
17-2011,Aerospace Engineers,detail,63960,0.034,0.442,55.39,56.3,117100,0.007,,,
17-2021,Agricultural Engineers,detail,1630,0.078,0.011,37.07,38.03,79090,0.013,,,
17-2031,Biomedical Engineers,detail,18970,0.049,0.131,42.57,45.72,95090,0.012,,,
17-2041,Chemical Engineers,detail,32060,0.029,0.221,50.44,55.03,114470,0.015,,,
17-2051,Civil Engineers,detail,306030,0.01,2.114,41.65,45.06,93720,0.004,,,
17-2061,Computer Hardware Engineers,detail,60750,0.03,0.42,55.1,56.66,117840,0.011,,,
17-2070,Electrical and Electronics Engineers,broad,320610,0.013,2.215,47.63,50.12,104250,0.004,,,
17-2071,Electrical Engineers,detail,186490,0.013,1.289,46.46,48.85,101600,0.004,,,
17-2072,"Electronics Engineers, Except Computer",detail,134110,0.025,0.927,49.37,51.89,107930,0.008,,,
17-2081,Environmental Engineers,detail,53070,0.018,0.367,42.13,44.54,92640,0.007,,,
17-2110,"Industrial Engineers, Including Health and Safety",broad,305780,0.012,2.113,41.92,44.14,91800,0.003,,,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detail,26230,0.019,0.181,42.85,45.01,93630,0.007,,,
17-2112,Industrial Engineers,detail,279550,0.013,1.932,41.84,44.05,91630,0.004,,,
17-2121,Marine Engineers and Naval Architects,detail,11350,0.064,0.078,44.5,47.58,98970,0.015,,,
17-2131,Materials Engineers,detail,26930,0.027,0.186,44.42,46.6,96930,0.007,,,
17-2141,Mechanical Engineers,detail,303440,0.014,2.097,42,44.62,92800,0.003,,,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detail,5780,0.055,0.04,44.35,47.32,98420,0.02,,,
17-2161,Nuclear Engineers,detail,15980,0.043,0.11,51.73,53.26,110790,0.013,,,
17-2171,Petroleum Engineers,detail,32510,0.041,0.225,65.95,75.18,156370,0.023,,,
17-2199,"Engineers, All Other",detail,142030,0.015,0.981,46.62,47.8,99410,0.008,,,
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,675960,0.006,4.67,27.32,28.56,59410,0.002,,,
17-3010,Drafters,broad,193260,0.01,1.335,26.71,27.97,58180,0.004,,,
17-3011,Architectural and Civil Drafters,detail,97610,0.016,0.674,26.4,27.26,56700,0.004,,,
17-3012,Electrical and Electronics Drafters,detail,24900,0.03,0.172,28.88,30.96,64400,0.011,,,
17-3013,Mechanical Drafters,detail,56170,0.016,0.388,26.89,28.37,59010,0.007,,,
17-3019,"Drafters, All Other",detail,14580,0.033,0.101,24.93,26.08,54240,0.008,,,
17-3020,"Engineering Technicians, Except Drafters",broad,430400,0.008,2.974,28.37,29.51,61380,0.003,,,
17-3021,Aerospace Engineering and Operations Technicians,detail,10110,0.055,0.07,32.22,33.16,68970,0.015,,,
17-3022,Civil Engineering Technicians,detail,71150,0.014,0.492,25.28,26.29,54670,0.005,,,
17-3023,Electrical and Electronics Engineering Technicians,detail,126950,0.016,0.877,30.93,31.27,65050,0.004,,,
17-3024,Electro-Mechanical Technicians,detail,13520,0.042,0.093,27.78,28.96,60240,0.01,,,
17-3025,Environmental Engineering Technicians,detail,17310,0.039,0.12,24.31,26.34,54800,0.011,,,
17-3026,Industrial Engineering Technicians,detail,66540,0.026,0.46,26.66,28.3,58860,0.009,,,
17-3027,Mechanical Engineering Technicians,detail,41460,0.02,0.286,27.04,28,58240,0.006,,,
17-3029,"Engineering Technicians, Except Drafters, All Other",detail,83360,0.015,0.576,30.38,31.6,65720,0.005,,,
17-3031,Surveying and Mapping Technicians,detail,52300,0.021,0.361,21.34,22.93,47690,0.006,,,
19-0000,"Life, Physical, and Social Science Occupations",major,1171910,0.007,8.097,31.77,36.62,76160,0.004,,,
19-1000,Life Scientists,minor,304750,0.015,2.106,36.47,41.56,86450,0.009,,,
19-1010,Agricultural and Food Scientists,broad,30880,0.036,0.213,30.78,34.24,71230,0.01,,,
19-1011,Animal Scientists,detail,2530,0.062,0.018,28.07,32.54,67690,0.027,,,
19-1012,Food Scientists and Technologists,detail,13330,0.059,0.092,31.39,34.89,72570,0.013,,,
19-1013,Soil and Plant Scientists,detail,15010,0.047,0.104,30.74,33.96,70630,0.015,,,
19-1020,Biological Scientists,broad,109040,0.022,0.753,37.29,41.54,86390,0.016,,,
19-1021,Biochemists and Biophysicists,detail,28500,0.049,0.197,44.85,50.93,105940,0.044,,,
19-1022,Microbiologists,detail,20030,0.067,0.138,34.45,39.02,81150,0.026,,,
19-1023,Zoologists and Wildlife Biologists,detail,17860,0.023,0.123,30.49,32.58,67760,0.006,,,
19-1029,"Biological Scientists, All Other",detail,42640,0.026,0.295,38.27,40.19,83600,0.013,,,
19-1030,Conservation Scientists and Foresters,broad,30600,0.014,0.211,29.49,31.12,64720,0.006,,,
19-1031,Conservation Scientists,detail,22200,0.017,0.153,29.48,31.4,65320,0.007,,,
19-1032,Foresters,detail,8410,0.022,0.058,29.53,30.36,63150,0.005,,,
19-1040,Medical Scientists,broad,127380,0.027,0.88,40.16,45.8,95270,0.012,,,
19-1041,Epidemiologists,detail,7060,0.019,0.049,33.49,36.39,75690,0.01,,,
19-1042,"Medical Scientists, Except Epidemiologists",detail,120320,0.029,0.831,40.77,46.36,96420,0.013,,,
19-1099,"Life Scientists, All Other",detail,6850,0.051,0.047,37.59,42.86,89150,0.033,,,
19-2000,Physical Scientists,minor,254790,0.012,1.76,38.89,43.49,90470,0.008,,,
19-2010,Astronomers and Physicists,broad,19770,0.044,0.137,57.49,59.48,123730,0.015,,,
19-2011,Astronomers,detail,2160,0.114,0.015,50.81,53.41,111090,0.023,,,
19-2012,Physicists,detail,17620,0.048,0.122,58.15,60.23,125280,0.016,,,
19-2021,Atmospheric and Space Scientists,detail,9310,0.039,0.064,45.25,45.95,95580,0.012,,,
19-2030,Chemists and Materials Scientists,broad,92300,0.023,0.638,37.66,41.06,85400,0.009,,,
19-2031,Chemists,detail,84560,0.025,0.584,36.97,40.31,83850,0.01,,,
19-2032,Materials Scientists,detail,7730,0.052,0.053,47.98,49.25,102450,0.016,,,
19-2040,Environmental Scientists and Geoscientists,broad,116020,0.013,0.802,36.34,41.1,85480,0.008,,,
19-2041,"Environmental Scientists and Specialists, Including Health",detail,80480,0.013,0.556,34.2,37.3,77580,0.008,,,
19-2042,"Geoscientists, Except Hydrologists and Geographers",detail,29260,0.034,0.202,43.81,51.83,107800,0.017,,,
19-2043,Hydrologists,detail,6290,0.034,0.043,38.16,39.81,82790,0.011,,,
19-2099,"Physical Scientists, All Other",detail,17380,0.026,0.12,51.55,52.93,110090,0.014,,,
19-3000,Social Scientists and Related Workers,minor,247290,0.01,1.709,37.81,41.3,85900,0.005,,,
19-3011,Economists,detail,18650,0.035,0.129,50.16,55.78,116020,0.017,,,
19-3022,Survey Researchers,detail,11690,0.055,0.081,27.74,30.4,63240,0.022,,,
19-3030,Psychologists,broad,124750,0.014,0.862,37.99,41.63,86600,0.009,,,
19-3031,"Clinical, Counseling, and School Psychologists",detail,110490,0.014,0.763,37.01,41.03,85340,0.01,,,
19-3032,Industrial-Organizational Psychologists,detail,780,0.116,0.005,46.76,52.42,109030,0.058,,,
19-3039,"Psychologists, All Other",detail,13480,0.046,0.093,48.45,45.97,95610,0.023,,,
19-3041,Sociologists,detail,2710,0.062,0.019,39.45,43.41,90290,0.021,,,
19-3051,Urban and Regional Planners,detail,37840,0.016,0.261,35.12,36.65,76240,0.005,,,
19-3090,Miscellaneous Social Scientists and Related Workers,broad,51640,0.022,0.357,38.68,41.02,85320,0.018,,,
19-3091,Anthropologists and Archeologists,detail,6020,0.043,0.042,30.01,31.4,65310,0.011,,,
19-3092,Geographers,detail,1390,0.031,0.01,38.6,38.72,80530,0.011,,,
19-3093,Historians,detail,3040,0.048,0.021,29.4,31.91,66380,0.024,,,
19-3094,Political Scientists,detail,5660,0.066,0.039,56.52,55.43,115300,0.031,,,
19-3099,"Social Scientists and Related Workers, All Other",detail,35530,0.029,0.245,39.11,41.22,85750,0.01,,,
19-4000,"Life, Physical, and Social Science Technicians",minor,365080,0.011,2.522,22.47,24.52,50990,0.004,,,
19-4011,Agricultural and Food Science Technicians,detail,21290,0.027,0.147,19.65,21.24,44170,0.013,,,
19-4021,Biological Technicians,detail,77450,0.028,0.535,21.39,23.1,48060,0.006,,,
19-4031,Chemical Technicians,detail,65500,0.019,0.453,23.15,24.84,51670,0.006,,,
19-4041,Geological and Petroleum Technicians,detail,15060,0.044,0.104,25.62,30.23,62890,0.026,,,
19-4051,Nuclear Technicians,detail,7230,0.067,0.05,38.05,38.45,79970,0.018,,,
19-4061,Social Science Research Assistants,detail,34550,0.057,0.239,22.42,24.24,50420,0.016,,,
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,144010,0.011,0.995,22.54,24.38,50720,0.004,,,
19-4091,"Environmental Science and Protection Technicians, Including Health",detail,32600,0.025,0.225,22.2,24.21,50350,0.009,,,
19-4092,Forensic Science Technicians,detail,15970,0.017,0.11,27.99,30.05,62490,0.008,,,
19-4093,Forest and Conservation Technicians,detail,30220,0.008,0.209,17.88,19.28,40110,0.003,,,
19-4099,"Life, Physical, and Social Science Technicians, All Other",detail,65220,0.021,0.451,23.88,25.45,52940,0.007,,,
21-0000,Community and Social Service Occupations,major,2171820,0.004,15.006,21.62,23.69,49280,0.003,,,
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,2090700,0.004,14.445,21.62,23.69,49270,0.005,,,
21-1010,Counselors,broad,735100,0.006,5.079,22.98,24.96,51920,0.004,,,
21-1012,"Educational, Guidance, School, and Vocational Counselors",detail,285460,0.009,1.972,27.07,28.93,60160,0.006,,,
21-1013,Marriage and Family Therapists,detail,48520,0.037,0.335,24.08,26.03,54150,0.012,,,
21-1015,Rehabilitation Counselors,detail,106860,0.018,0.738,17.13,19.2,39930,0.008,,,
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detail,267730,0.011,1.85,21.46,23.04,47920,0.005,,,
21-1019,"Counselors, All Other",detail,26530,0.032,0.183,20.26,22.95,47740,0.015,,,
21-1020,Social Workers,broad,662550,0.006,4.578,23.79,25.51,53060,0.006,,,
21-1021,"Child, Family, and School Social Workers",detail,320170,0.008,2.212,22.24,23.92,49760,0.01,,,
21-1022,Healthcare Social Workers,detail,168190,0.015,1.162,27.02,28.11,58470,0.007,,,
21-1023,Mental Health and Substance Abuse Social Workers,detail,116750,0.016,0.807,21.56,23.86,49630,0.008,,,
21-1029,"Social Workers, All Other",detail,57440,0.013,0.397,30.35,30.12,62660,0.007,,,
21-1090,Miscellaneous Community and Social Service Specialists,broad,693040,0.008,4.788,18.35,20.59,42820,0.006,,,
21-1091,Health Educators,detail,58780,0.016,0.406,26.07,28.68,59660,0.006,,,
21-1092,Probation Officers and Correctional Treatment Specialists,detail,87660,0.007,0.606,25.49,28.27,58790,0.009,,,
21-1093,Social and Human Service Assistants,detail,392300,0.012,2.711,16.22,17.22,35830,0.004,,,
21-1094,Community Health Workers,detail,56130,0.019,0.388,19.01,20.9,43480,0.007,,,
21-1099,"Community and Social Service Specialists, All Other",detail,98170,0.014,0.678,20.49,22.14,46050,0.009,,,
21-2000,Religious Workers,minor,81120,0.015,0.56,21.62,23.94,49790,0.009,,,
21-2011,Clergy,detail,50960,0.017,0.352,23.55,25.62,53290,0.009,,,
21-2021,"Directors, Religious Activities and Education",detail,21700,0.032,0.15,19.62,22.59,46980,0.016,,,
21-2099,"Religious Workers, All Other",detail,8460,0.054,0.058,14.33,17.24,35860,0.037,,,
23-0000,Legal Occupations,major,1127900,0.004,7.793,38.85,52.25,108690,0.006,,,
23-1000,"Lawyers, Judges, and Related Workers",minor,708140,0.006,4.893,56.68,67.23,139850,0.006,,,
23-1010,Lawyers and Judicial Law Clerks,broad,659090,0.006,4.554,57,68.33,142130,0.007,,,
23-1011,Lawyers,detail,642750,0.006,4.441,58.13,69.34,144230,0.007,,,
23-1012,Judicial Law Clerks,detail,16350,0.018,0.113,25.74,28.63,59540,0.023,,,
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,49040,0.007,0.339,52.05,52.49,109170,0.008,,,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detail,14280,0.005,0.099,48,48.66,101210,0.005,,,
23-1022,"Arbitrators, Mediators, and Conciliators",detail,6240,0.05,0.043,29.94,34.98,72760,0.023,,,
23-1023,"Judges, Magistrate Judges, and Magistrates",detail,28520,0.005,0.197,64.39,58.23,121130,0.006,,,
23-2000,Legal Support Workers,minor,419770,0.009,2.9,24.72,26.98,56130,0.004,,,
23-2011,Paralegals and Legal Assistants,detail,309940,0.011,2.141,24.49,26.2,54500,0.005,,,
23-2090,Miscellaneous Legal Support Workers,broad,109820,0.02,0.759,25.4,29.19,60710,0.007,,,
23-2091,Court Reporters,detail,14490,0.042,0.1,27.48,30,62390,0.019,,,
23-2093,"Title Examiners, Abstractors, and Searchers",detail,52180,0.036,0.361,22.66,24.7,51380,0.011,,,
23-2099,"Legal Support Workers, All Other",detail,43150,0.022,0.298,28.33,34.34,71420,0.01,,,
25-0000,"Education, Training, and Library Occupations",major,8779780,0.004,60.662,23.89,27.22,56620,0.005,,,
25-1000,Postsecondary Teachers,minor,1517100,0.01,10.482,-4,-4,85190,0.009,,,
25-1011,"Business Teachers, Postsecondary",detail,84230,0.015,0.582,-4,-4,103330,0.013,,,
25-1020,"Math and Computer Teachers, Postsecondary",broad,83690,0.013,0.578,-4,-4,90650,0.01,,,
25-1021,"Computer Science Teachers, Postsecondary",detail,32430,0.017,0.224,-4,-4,96200,0.012,,,
25-1022,"Mathematical Science Teachers, Postsecondary",detail,51250,0.013,0.354,-4,-4,87140,0.01,,,
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,44420,0.023,0.307,-4,-4,111450,0.014,,,
25-1031,"Architecture Teachers, Postsecondary",detail,6880,0.056,0.048,-4,-4,99320,0.035,,,
25-1032,"Engineering Teachers, Postsecondary",detail,37530,0.022,0.259,-4,-4,113680,0.014,,,
25-1040,"Life Sciences Teachers, Postsecondary",broad,64660,0.017,0.447,-4,-4,96110,0.01,,,
25-1041,"Agricultural Sciences Teachers, Postsecondary",detail,10810,0.037,0.075,-4,-4,90890,0.023,,,
25-1042,"Biological Science Teachers, Postsecondary",detail,51770,0.018,0.358,-4,-4,97340,0.014,,,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detail,2070,0.062,0.014,-4,-4,92550,0.019,,,
25-1050,"Physical Sciences Teachers, Postsecondary",broad,52160,0.015,0.36,-4,-4,97280,0.01,,,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detail,11020,0.037,0.076,-4,-4,101890,0.013,,,
25-1052,"Chemistry Teachers, Postsecondary",detail,21370,0.016,0.148,-4,-4,92360,0.009,,,
25-1053,"Environmental Science Teachers, Postsecondary",detail,6040,0.039,0.042,-4,-4,91330,0.019,,,
25-1054,"Physics Teachers, Postsecondary",detail,13730,0.018,0.095,-4,-4,103830,0.013,,,
25-1060,"Social Sciences Teachers, Postsecondary",broad,117510,0.013,0.812,-4,-4,92440,0.01,,,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detail,5890,0.024,0.041,-4,-4,94080,0.015,,,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detail,9850,0.033,0.068,-4,-4,85450,0.017,,,
25-1063,"Economics Teachers, Postsecondary",detail,12750,0.02,0.088,-4,-4,117180,0.014,,,
25-1064,"Geography Teachers, Postsecondary",detail,3960,0.034,0.027,-4,-4,88950,0.014,,,
25-1065,"Political Science Teachers, Postsecondary",detail,15890,0.017,0.11,-4,-4,99480,0.023,,,
25-1066,"Psychology Teachers, Postsecondary",detail,37630,0.022,0.26,-4,-4,88490,0.011,,,
25-1067,"Sociology Teachers, Postsecondary",detail,13870,0.019,0.096,-4,-4,83310,0.012,,,
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detail,17670,0.026,0.122,-4,-4,87950,0.021,,,
25-1070,"Health Teachers, Postsecondary",broad,255190,0.02,1.763,-4,-4,113370,0.02,,,
25-1071,"Health Specialties Teachers, Postsecondary",detail,199480,0.024,1.378,-4,-4,122320,0.022,,,
25-1072,"Nursing Instructors and Teachers, Postsecondary",detail,55710,0.019,0.385,-4,-4,81350,0.02,,,
