occ_code,occ_title,tot_emp,h_median,a_median
21-1015,Rehabilitation Counselors," 103,840 ",16.46," 34,230 "
21-1021,"Child, Family, and School Social Workers"," 276,760 ",20.25," 42,120 "
21-1022,Healthcare Social Workers," 141,830 ",24.44," 50,820 "
21-1023,Mental Health and Substance Abuse Social Workers," 110,010 ",19.70," 40,970 "
21-1091,Health Educators," 56,720 ",23.66," 49,210 "
21-1092,Probation Officers and Correctional Treatment Specialists," 86,810 ",23.29," 48,440 "
21-1093,Social and Human Service Assistants," 355,500 ",14.05," 29,230 "
21-2011,Clergy," 45,020 ",21.06," 43,800 "
21-2021,"Directors, Religious Activities and Education"," 18,600 ",18.35," 38,160 "
23-1011,Lawyers," 592,670 ",54.95," 114,300 "
23-1012,Judicial Law Clerks," 10,890 ",22.90," 47,640 "
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"," 14,270 ",41.92," 87,190 "
23-1022,"Arbitrators, Mediators, and Conciliators"," 6,830 ",29.06," 60,450 "
23-1023,"Judges, Magistrate Judges, and Magistrates"," 27,190 ",56.80," 118,150 "
23-2011,Paralegals and Legal Assistants," 271,320 ",22.87," 47,570 "
23-2091,Court Reporters," 19,200 ",23.83," 49,560 "
23-2093,"Title Examiners, Abstractors, and Searchers"," 53,640 ",20.59," 42,830 "
25-1000,Postsecondary Teachers," 1,511,280 ",*," 62,920 "
25-2011,"Preschool Teachers, Except Special Education"," 352,730 ",13.26," 27,570 "
25-2012,"Kindergarten Teachers, Except Special Education"," 157,800 ",*," 50,230 "
25-2021,"Elementary School Teachers, Except Special Education"," 1,344,240 ",*," 53,590 "
25-2022,"Middle School Teachers, Except Special and Career/Technical Education"," 621,970 ",*," 53,940 "
25-2023,"Career/Technical Education Teachers, Middle School"," 18,150 ",*," 54,270 "
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"," 946,730 ",*," 55,360 "
25-2032,"Career/Technical Education Teachers, Secondary School"," 85,020 ",*," 55,120 "
25-2053,"Special Education Teachers, Middle School"," 96,770 ",*," 56,300 "
25-2054,"Special Education Teachers, Secondary School"," 133,490 ",*," 56,920 "
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors," 69,880 ",24.57," 51,110 "
25-3021,Self-Enrichment Education Teachers," 187,180 ",17.07," 35,500 "
25-4011,Archivists," 5,560 ",23.61," 49,110 "
25-4012,Curators," 10,910 ",24.30," 50,550 "
25-4013,Museum Technicians and Conservators," 9,860 ",19.24," 40,020 "
25-4021,Librarians," 136,510 ",26.78," 55,690 "
25-4031,Library Technicians," 95,980 ",15.04," 31,280 "
25-9011,Audio-Visual and Multimedia Collections Specialists," 8,840 ",21.33," 44,360 "
25-9021,Farm and Home Management Advisors," 9,120 ",22.29," 46,370 "
25-9031,Instructional Coordinators," 133,840 ",29.14," 60,610 "
25-9041,Teacher Assistants," 1,190,720 ",*," 24,000 "
27-1011,Art Directors," 32,250 ",39.90," 83,000 "
27-1012,Craft Artists," 4,750 ",14.62," 30,400 "
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"," 11,980 ",20.48," 42,610 "
27-1014,Multimedia Artists and Animators," 30,790 ",30.99," 64,470 "
27-1021,Commercial and Industrial Designers," 28,540 ",29.99," 62,370 "
27-1022,Fashion Designers," 17,370 ",30.65," 63,760 "
27-1023,Floral Designers," 46,490 ",11.65," 24,220 "
27-1024,Graphic Designers," 194,360 ",21.55," 44,830 "
27-1025,Interior Designers," 43,710 ",23.32," 48,500 "
27-1026,Merchandise Displayers and Window Trimmers," 72,590 ",13.21," 27,470 "
27-1027,Set and Exhibit Designers," 9,750 ",24.04," 50,000 "
27-2011,Actors," 63,230 ",22.15, * 
27-2012,Producers and Directors," 92,510 ",33.40," 69,480 "
27-2021,Athletes and Sports Competitors," 13,880 ",*," 39,050 "
27-2022,Coaches and Scouts," 206,080 ",*," 29,150 "
27-2023,"Umpires, Referees, and Other Sports Officials"," 16,140 ",*," 23,900 "
27-2031,Dancers," 11,540 ",14.87, * 
27-2032,Choreographers," 6,300 ",21.22," 44,130 "
27-2041,Music Directors and Composers," 23,190 ",23.24," 48,330 "
27-2042,Musicians and Singers," 39,260 ",23.74, * 
27-3011,Radio and Television Announcers," 30,530 ",13.95," 29,020 "
27-3012,Public Address System and Other Announcers," 7,480 ",12.01," 24,990 "
27-3021,Broadcast News Analysts," 4,820 ",29.07," 60,470 "
27-3022,Reporters and Correspondents," 43,630 ",17.11," 35,600 "
27-3031,Public Relations Specialists," 202,530 ",26.41," 54,940 "
27-3041,Editors," 98,790 ",26.04," 54,150 "
27-3042,Technical Writers," 47,300 ",32.64," 67,900 "
27-3043,Writers and Authors," 43,590 ",27.77," 57,750 "
27-3091,Interpreters and Translators," 49,060 ",20.39," 42,420 "
27-4011,Audio and Video Equipment Technicians," 56,440 ",19.83," 41,250 "
27-4012,Broadcast Technicians," 27,800 ",17.65," 36,710 "
27-4013,Radio Operators," 1,160 ",21.45," 44,620 "
27-4014,Sound Engineering Technicians," 13,480 ",22.35," 46,480 "
27-4021,Photographers," 54,830 ",14.08," 29,280 "
27-4031,"Camera Operators, Television, Video, and Motion Picture"," 16,860 ",20.45," 42,530 "
27-4032,Film and Video Editors," 21,920 ",26.20," 54,490 "
29-1011,Chiropractors," 28,850 ",31.40," 65,300 "
29-1021,"Dentists, General"," 96,000 ",70.36," 146,340 "
29-1022,Oral and Maxillofacial Surgeons," 5,280 ",#, # 
29-1023,Orthodontists," 5,570 ",#, # 
29-1024,Prosthodontists, 290 ,43.87," 91,260 "
29-1031,Dietitians and Nutritionists," 59,530 ",26.88," 55,920 "
29-1041,Optometrists," 32,040 ",48.70," 101,290 "
29-1051,Pharmacists," 287,420 ",57.35," 119,280 "
29-1060,Physicians and Surgeons," 623,380 ",#, # 
29-1071,Physician Assistants," 88,110 ",44.70," 92,970 "
29-1081,Podiatrists," 8,850 ",56.83," 118,210 "
29-1122,Occupational Therapists," 108,410 ",36.99," 76,940 "
29-1123,Physical Therapists," 195,670 ",38.96," 81,030 "
29-1124,Radiation Therapists," 16,950 ",38.05," 79,140 "
29-1125,Recreational Therapists," 18,640 ",20.76," 43,180 "
29-1126,Respiratory Therapists," 118,640 ",27.06," 56,290 "
29-1127,Speech-Language Pathologists," 125,050 ",34.04," 70,810 "
29-1131,Veterinarians," 59,230 ",41.66," 86,640 "
29-1181,Audiologists," 11,550 ",34.22," 71,170 "
29-1199,"Health Diagnosing and Treating Practitioners, All Other"," 33,070 ",35.04," 72,870 "
29-2011,Medical and Clinical Laboratory Technologists," 162,630 ",28.09," 58,430 "
29-2012,Medical and Clinical Laboratory Technicians," 157,080 ",18.26," 37,970 "
29-2021,Dental Hygienists," 192,330 ",34.19," 71,110 "
29-2031,Cardiovascular Technologists and Technicians," 51,010 ",25.58," 53,210 "
29-2032,Diagnostic Medical Sonographers," 58,250 ",31.93," 66,410 "
29-2033,Nuclear Medicine Technologists," 20,020 ",34.19," 71,120 "
29-2041,Emergency Medical Technicians and Paramedics," 237,660 ",15.04," 31,270 "
29-2051,Dietetic Technicians," 26,420 ",12.32," 25,620 "
29-2052,Pharmacy Technicians," 362,690 ",14.25," 29,650 "
29-2053,Psychiatric Technicians," 66,760 ",14.37," 29,880 "
29-2054,Respiratory Therapy Technicians," 12,070 ",22.61," 47,040 "
29-2055,Surgical Technologists," 97,930 ",20.54," 42,720 "
29-2056,Veterinary Technologists and Technicians," 87,870 ",14.66," 30,500 "
29-2061,Licensed Practical and Licensed Vocational Nurses," 705,200 ",20.15," 41,920 "
29-2071,Medical Records and Health Information Technicians," 180,760 ",16.81," 34,970 "
29-2081,"Opticians, Dispensing"," 68,390 ",16.24," 33,770 "
29-2091,Orthotists and Prosthetists," 8,330 ",30.27," 62,970 "
29-9011,Occupational Health and Safety Specialists," 62,830 ",32.67," 67,960 "
29-9012,Occupational Health and Safety Technicians," 13,660 ",22.78," 47,380 "
29-9091,Athletic Trainers," 22,340 ",*," 42,790 "
31-1011,Home Health Aides," 806,710 ",10.10," 21,020 "
31-1013,Psychiatric Aides," 75,340 ",12.08," 25,120 "
31-2011,Occupational Therapy Assistants," 30,450 ",26.57," 55,270 "
31-2012,Occupational Therapy Aides," 8,710 ",12.67," 26,350 "
31-2021,Physical Therapist Assistants," 72,640 ",25.65," 53,360 "
31-2022,Physical Therapist Aides," 48,630 ",11.69," 24,310 "
31-9011,Massage Therapists," 79,040 ",17.27," 35,920 "
31-9091,Dental Assistants," 309,540 ",16.78," 34,900 "
31-9092,Medical Assistants," 571,690 ",14.24," 29,610 "
31-9093,Medical Equipment Preparers," 51,300 ",15.25," 31,720 "
31-9094,Medical Transcriptionists," 68,350 ",16.63," 34,590 "
31-9095,Pharmacy Aides," 42,250 ",10.85," 22,580 "
31-9096,Veterinary Assistants and Laboratory Animal Caretakers," 71,800 ",11.32," 23,550 "
33-1011,First-Line Supervisors of Correctional Officers," 44,980 ",27.74," 57,700 "
33-1012,First-Line Supervisors of Police and Detectives," 101,320 ",38.07," 79,190 "
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers," 59,700 ",33.68," 70,040 "
33-2011,Firefighters," 302,870 ",21.92," 45,600 "
33-2021,Fire Inspectors and Investigators," 11,520 ",26.66," 55,440 "
33-2022,Forest Fire Inspectors and Prevention Specialists," 1,730 ",16.16," 33,610 "
33-3011,Bailiffs," 16,360 ",17.83," 37,080 "
33-3012,Correctional Officers and Jailers," 432,680 ",19.02," 39,550 "
33-3021,Detectives and Criminal Investigators," 109,960 ",36.89," 76,730 "
33-3031,Fish and Game Wardens," 6,640 ",23.44," 48,760 "
33-3041,Parking Enforcement Workers," 8,790 ",17.40," 36,190 "
33-3051,Police and Sheriff's Patrol Officers," 635,380 ",26.99," 56,130 "
33-3052,Transit and Railroad Police," 4,060 ",26.68," 55,490 "
33-9011,Animal Control Workers," 13,590 ",15.40," 32,020 "
33-9021,Private Detectives and Investigators," 25,820 ",22.24," 46,250 "
33-9031,Gaming Surveillance Officers and Gaming Investigators," 10,260 ",14.15," 29,440 "
33-9032,Security Guards," 1,066,730 ",11.57," 24,070 "
33-9091,Crossing Guards," 68,050 ",11.49," 23,890 "
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"," 130,700 ",9.16," 19,040 "
35-1011,Chefs and Head Cooks," 107,730 ",20.43," 42,490 "
35-1012,First-Line Supervisors of Food Preparation and Serving Workers," 842,540 ",14.09," 29,320 "
35-2011,"Cooks, Fast Food"," 507,940 ",8.88," 18,470 "
35-2012,"Cooks, Institution and Cafeteria"," 399,940 ",11.14," 23,170 "
35-2013,"Cooks, Private Household", 590 ,11.17," 23,240 "
35-2014,"Cooks, Restaurant"," 1,057,550 ",10.65," 22,160 "
35-2015,"Cooks, Short Order"," 167,480 ",9.51," 19,780 "
35-2021,Food Preparation Workers," 824,080 ",9.35," 19,440 "
35-3011,Bartenders," 555,560 ",9.09," 18,920 "
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food"," 3,022,880 ",8.81," 18,330 "
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"," 451,730 ",8.99," 18,700 "
35-3031,Waiters and Waitresses," 2,403,960 ",8.94," 18,590 "
35-3041,"Food Servers, Nonrestaurant"," 244,820 ",9.58," 19,920 "
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers," 409,700 ",8.95," 18,610 "
35-9021,Dishwashers," 498,110 ",8.95," 18,610 "
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"," 360,970 ",8.96," 18,640 "
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers," 169,920 ",17.15," 35,680 "
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"," 99,620 ",20.47," 42,570 "
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"," 2,101,810 ",10.86," 22,590 "
37-2012,Maids and Housekeeping Cleaners," 917,470 ",9.51," 19,780 "
37-2021,Pest Control Workers," 64,450 ",14.58," 30,330 "
37-3011,Landscaping and Groundskeeping Workers," 839,780 ",11.51," 23,940 "
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"," 22,830 ",14.82," 30,820 "
37-3013,Tree Trimmers and Pruners," 40,720 ",15.67," 32,590 "
39-1011,Gaming Supervisors," 25,150 ",23.20," 48,250 "
39-1012,Slot Supervisors," 7,730 ",15.13," 31,470 "
39-1021,First-Line Supervisors of Personal Service Workers," 150,300 ",16.97," 35,300 "
39-2011,Animal Trainers," 10,610 ",12.17," 25,320 "
39-2021,Nonfarm Animal Caretakers," 154,350 ",9.57," 19,910 "
39-3011,Gaming Dealers," 98,790 ",8.88," 18,480 "
39-3012,Gaming and Sports Book Writers and Runners," 12,760 ",10.82," 22,510 "
39-3021,Motion Picture Projectionists," 7,630 ",9.73," 20,230 "
39-3031,"Ushers, Lobby Attendants, and Ticket Takers"," 106,770 ",8.98," 18,680 "
39-3091,Amusement and Recreation Attendants," 260,680 ",9.05," 18,810 "
39-3092,Costume Attendants," 5,900 ",17.62," 36,650 "
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants"," 18,910 ",9.42," 19,580 "
39-4011,Embalmers," 4,390 ",20.00," 41,590 "
39-4021,Funeral Attendants," 33,400 ",10.83," 22,530 "
39-5011,Barbers," 15,100 ",12.03," 25,010 "
39-5012,"Hairdressers, Hairstylists, and Cosmetologists"," 351,960 ",11.12," 23,140 "
39-5091,"Makeup Artists, Theatrical and Performance"," 2,440 ",22.70," 47,210 "
39-5092,Manicurists and Pedicurists," 71,220 ",9.30," 19,340 "
39-5093,Shampooers," 15,650 ",8.90," 18,510 "
39-5094,Skincare Specialists," 33,680 ",13.92," 28,940 "
39-6011,Baggage Porters and Bellhops," 43,790 ",9.77," 20,330 "
39-6012,Concierges," 30,190 ",13.37," 27,810 "
39-7011,Tour Guides and Escorts," 34,530 ",11.43," 23,770 "
39-7012,Travel Guides," 4,250 ",16.26," 33,820 "
39-9011,Childcare Workers," 597,900 ",9.42," 19,600 "
39-9021,Personal Care Aides," 1,135,470 ",9.67," 20,100 "
39-9031,Fitness Trainers and Aerobics Instructors," 238,170 ",15.88," 33,020 "
39-9032,Recreation Workers," 317,310 ",10.76," 22,390 "
39-9041,Residential Advisors," 88,220 ",11.79," 24,520 "
41-1011,First-Line Supervisors of Retail Sales Workers," 1,213,550 ",17.88," 37,200 "
41-1012,First-Line Supervisors of Non-Retail Sales Workers," 245,780 ",33.92," 70,560 "
41-2011,Cashiers," 3,343,470 ",9.12," 18,960 "
41-2012,Gaming Change Persons and Booth Cashiers," 20,060 ",11.43," 23,780 "
41-2021,Counter and Rental Clerks," 430,700 ",11.24," 23,370 "
41-2022,Parts Salespersons," 221,270 ",14.15," 29,440 "
41-2031,Retail Salespersons," 4,485,180 ",10.16," 21,140 "
41-3011,Advertising Sales Agents," 148,770 ",22.03," 45,830 "
41-3021,Insurance Sales Agents," 354,460 ",23.18," 48,210 "
41-3031,"Securities, Commodities, and Financial Services Sales Agents"," 325,140 ",34.92," 72,640 "
41-3041,Travel Agents," 64,250 ",16.60," 34,530 "
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"," 352,830 ",35.83," 74,520 "
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"," 1,403,770 ",26.16," 54,410 "
41-9011,Demonstrators and Product Promoters," 76,870 ",11.75," 24,440 "
41-9012,Models," 5,470 ",9.15," 19,040 "
41-9021,Real Estate Brokers," 38,970 ",28.65," 59,580 "
41-9022,Real Estate Sales Agents," 158,850 ",19.14," 39,800 "
41-9031,Sales Engineers," 65,730 ",45.14," 93,900 "
41-9041,Telemarketers," 231,900 ",10.87," 22,610 "
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"," 6,090 ",9.82," 20,430 "
43-1011,First-Line Supervisors of Office and Administrative Support Workers," 1,366,510 ",24.13," 50,190 "
43-2011,"Switchboard Operators, Including Answering Service"," 118,060 ",12.45," 25,900 "
43-2021,Telephone Operators," 10,280 ",15.67," 32,590 "
43-3011,Bill and Account Collectors," 368,850 ",15.83," 32,920 "
43-3021,Billing and Posting Clerks," 493,840 ",16.26," 33,820 "
43-3031,"Bookkeeping, Accounting, and Auditing Clerks"," 1,586,380 ",17.18," 35,730 "
43-3041,Gaming Cage Workers," 17,360 ",11.86," 24,660 "
43-3051,Payroll and Timekeeping Clerks," 170,400 ",18.59," 38,670 "
43-3061,Procurement Clerks," 68,690 ",18.64," 38,780 "
43-3071,Tellers," 527,680 ",12.21," 25,390 "
43-4011,Brokerage Clerks," 60,300 ",21.85," 45,450 "
43-4021,Correspondence Clerks," 7,800 ",16.75," 34,840 "
43-4031,"Court, Municipal, and License Clerks"," 127,170 ",16.89," 35,130 "
43-4041,"Credit Authorizers, Checkers, and Clerks"," 50,240 ",16.13," 33,560 "
